mode,asset,instrument,kind,sector,selection,reference_date,reference_usd,multiple,target_usd,horizon,question,replicate,p
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",1,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",2,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",3,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",4,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",5,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",6,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",7,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",8,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",9,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",10,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",11,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",12,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",13,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",14,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",15,0.39
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",16,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",17,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",18,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",19,0.38
