criteria_mode,target_usd,target_words,year,question,replicate,p
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",1,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",2,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",3,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",4,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",5,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",6,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",7,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",8,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",9,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",10,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",11,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",12,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",13,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",14,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",15,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",16,0.48
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",17,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",18,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",19,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",20,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",21,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",22,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",23,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",24,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",25,0.5
