mode,asset,instrument,sector,horizon,multiple,n,mean_pct,median_pct,p10_pct,p90_pct,sd_pp
blank,AMC,AMC Entertainment,Meme-stock probe,2035,2,100,36.47,36.0,36.0,37.0,0.8420807562223471
blank,AMC,AMC Entertainment,Meme-stock probe,no_date,2,100,37.78,38.0,37.0,39.0,0.7947326594522212
blank,AMC,AMC Entertainment,Meme-stock probe,2035,10,100,34.26,34.0,33.0,35.0,0.8901685233707155
blank,AMC,AMC Entertainment,Meme-stock probe,no_date,10,100,34.26,34.0,33.0,36.0,1.016070863670443
blank,AMC,AMC Entertainment,Meme-stock probe,2035,100,100,15.99,16.0,15.0,17.0,0.8774394566008528
blank,AMC,AMC Entertainment,Meme-stock probe,no_date,100,100,14.610000000000001,15.0,14.000000000000002,16.0,0.9580709785814406
blank,AMC,AMC Entertainment,Meme-stock probe,2035,1000,100,9.2,9.0,8.0,10.0,0.7615773105863908
blank,AMC,AMC Entertainment,Meme-stock probe,no_date,1000,100,8.66,9.0,8.0,10.0,0.8627861844049195
blank,AMZN,Amazon,Consumer Discretionary,2035,2,100,41.92,42.0,41.0,43.0,0.9130169768410662
blank,AMZN,Amazon,Consumer Discretionary,no_date,2,100,39.45,39.0,38.0,41.0,1.12583302491977
blank,AMZN,Amazon,Consumer Discretionary,2035,10,100,29.0,28.999999999999996,27.0,30.0,1.1224972160321818
blank,AMZN,Amazon,Consumer Discretionary,no_date,10,100,31.96,32.0,30.0,33.0,1.2483589227461789
blank,AMZN,Amazon,Consumer Discretionary,2035,100,100,17.71,18.0,16.0,19.0,1.1427598172844546
blank,AMZN,Amazon,Consumer Discretionary,no_date,100,100,15.69,16.0,14.000000000000002,17.0,1.4401041628993367
blank,AMZN,Amazon,Consumer Discretionary,2035,1000,100,23.24,23.0,22.0,25.0,1.2338557452149745
blank,AMZN,Amazon,Consumer Discretionary,no_date,1000,100,20.91,21.0,19.0,23.0,1.3863260799682013
blank,BTC,Bitcoin,Crypto control,2035,2,100,35.59,36.0,34.0,37.0,1.477125587077822
blank,BTC,Bitcoin,Crypto control,no_date,2,100,28.959999999999997,28.999999999999996,28.000000000000004,30.0,0.8822698000045102
blank,BTC,Bitcoin,Crypto control,2035,10,100,14.88,15.0,13.0,16.0,1.0514751542475929
blank,BTC,Bitcoin,Crypto control,no_date,10,100,8.76,9.0,8.0,10.0,0.6499230723708769
blank,BTC,Bitcoin,Crypto control,2035,100,100,6.21,6.0,6.0,7.000000000000001,0.49588305072869787
blank,BTC,Bitcoin,Crypto control,no_date,100,100,4.06,4.0,4.0,4.0,0.31048349392520047
blank,BTC,Bitcoin,Crypto control,2035,1000,100,4.07,4.0,4.0,4.0,0.2917190429162964
blank,BTC,Bitcoin,Crypto control,no_date,1000,100,3.04,3.0,3.0,3.0,0.31368774282716244
blank,CAT,Caterpillar,Industrials,2035,2,100,24.15,24.0,23.0,26.0,1.2519984025548916
blank,CAT,Caterpillar,Industrials,no_date,2,100,21.17,21.0,20.0,23.0,1.3195074838741916
blank,CAT,Caterpillar,Industrials,2035,10,100,21.03,21.0,19.0,22.0,1.236567830731497
blank,CAT,Caterpillar,Industrials,no_date,10,100,25.71,26.0,24.0,27.0,1.0704671877269292
blank,CAT,Caterpillar,Industrials,2035,100,100,19.03,19.0,17.0,21.0,1.6519987893458032
blank,CAT,Caterpillar,Industrials,no_date,100,100,18.86,19.0,17.0,21.0,1.777751388693031
blank,CAT,Caterpillar,Industrials,2035,1000,100,5.7700000000000005,6.0,5.0,6.0,0.4869291529575941
blank,CAT,Caterpillar,Industrials,no_date,1000,100,6.12,6.0,5.0,7.000000000000001,0.6209669878504013
blank,ETH,Ethereum,Crypto control,2035,2,100,28.83,28.999999999999996,27.0,30.0,1.1050339361304693
blank,ETH,Ethereum,Crypto control,no_date,2,100,28.08,28.000000000000004,27.0,28.999999999999996,0.9346657156438325
blank,ETH,Ethereum,Crypto control,2035,10,100,16.93,17.0,16.0,18.0,0.8746999485537884
blank,ETH,Ethereum,Crypto control,no_date,10,100,10.34,10.0,9.0,11.0,0.8272847151978574
blank,ETH,Ethereum,Crypto control,2035,100,100,8.7,9.0,8.0,9.0,0.6244997998398398
blank,ETH,Ethereum,Crypto control,no_date,100,100,5.47,5.0,5.0,6.0,0.4990991885387112
