criteria_mode,year,target_usd,question,replicate,p
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",63,0.44
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",65,0.41
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",24,0.57
true_only,no_date,1000000,bitcoin will reach 1 million,8,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",34,0.56
true_only,no_date,100000000,bitcoin will reach 100 million,91,0.47
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,55,0.22
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",22,0.43
true_only,no_date,1000000,bitcoin will reach 1 million,95,0.39
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",80,0.41
empty,no_date,20000000,bitcoin will reach 20 million,28,0.61
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",99,0.56
true_only,no_date,1000000,bitcoin will reach 1 million,98,0.38
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,16,0.19
false_only,no_date,20000000,bitcoin will reach 20 million,66,0.44
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",28,0.51
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",49,0.54
empty,no_date,20000000,bitcoin will reach 20 million,56,0.55
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",22,0.45
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,10,0.47
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",5,0.39
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",9,0.54
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,56,0.22
paired,no_date,20000000,bitcoin will reach 20 million,41,0.41
false_only,no_date,20000000,bitcoin will reach 20 million,18,0.36
false_only,no_date,100000000,bitcoin will reach 100 million,83,0.42
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",11,0.38
false_only,no_date,1000000,bitcoin will reach 1 million,82,0.28
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",12,0.29
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",24,0.37
true_only,no_date,20000000,bitcoin will reach 20 million,38,0.41
false_only,no_date,1000000,bitcoin will reach 1 million,50,0.27
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",87,0.55
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",9,0.39
omitted,no_date,100000000,bitcoin will reach 100 million,46,0.36
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",92,0.43
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",100,0.37
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",47,0.27
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",76,0.42
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",9,0.16
omitted,no_date,20000000,bitcoin will reach 20 million,28,0.46
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",20,0.45
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",91,0.59
empty,no_date,1000000,bitcoin will reach 1 million,54,0.13
false_only,no_date,20000000,bitcoin will reach 20 million,51,0.33
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",52,0.44
empty,no_date,1000000,bitcoin will reach 1 million,74,0.14
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",16,0.54
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",44,0.43
empty,no_date,100000000,bitcoin will reach 100 million,7,0.38
true_only,no_date,100000000,bitcoin will reach 100 million,30,0.46
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",75,0.57
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",51,0.25
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",32,0.59
omitted,no_date,20000000,bitcoin will reach 20 million,81,0.42
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",44,0.23
true_only,no_date,1000000,bitcoin will reach 1 million,6,0.4
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",1,0.12
true_only,no_date,100000000,bitcoin will reach 100 million,50,0.46
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",4,0.4
false_only,no_date,100000000,bitcoin will reach 100 million,26,0.41
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",55,0.4
true_only,no_date,1000000,bitcoin will reach 1 million,81,0.39
paired,no_date,100000000,bitcoin will reach 100 million,55,0.37
false_only,no_date,20000000,bitcoin will reach 20 million,49,0.38
omitted,no_date,1000000,bitcoin will reach 1 million,33,0.1
omitted,no_date,20000000,bitcoin will reach 20 million,92,0.46
omitted,no_date,100000000,bitcoin will reach 100 million,57,0.37
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",76,0.32
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",75,0.23
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,9,0.2
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",35,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,30,0.12
omitted,no_date,100000000,bitcoin will reach 100 million,94,0.33
false_only,no_date,1000000,bitcoin will reach 1 million,71,0.27
omitted,no_date,20000000,bitcoin will reach 20 million,49,0.43
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",12,0.42
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",89,0.25
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",11,0.42
false_only,no_date,1000000,bitcoin will reach 1 million,35,0.22
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",95,0.42
paired,no_date,100000000,bitcoin will reach 100 million,62,0.38
false_only,no_date,1000000,bitcoin will reach 1 million,11,0.27
empty,no_date,100000000,bitcoin will reach 100 million,53,0.35
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",96,0.15
true_only,no_date,100000000,bitcoin will reach 100 million,68,0.48
