claim_id,criteria_mode,n,mean,p10,p90,correct_side_rate
trump_2021,empty,100,0.3737,0.32,0.43,1.0
trump_2021,false_only,100,0.0639,0.06,0.07,1.0
trump_2021,omitted,100,0.2579,0.23,0.29,1.0
trump_2021,paired,100,0.2168,0.17,0.28,1.0
trump_2021,paraphrase,100,0.1233,0.1,0.14,1.0
trump_2021,true_only,100,0.3671,0.3,0.43,1.0
trump_2025,empty,100,0.7775000000000001,0.76,0.8,1.0
trump_2025,false_only,100,0.7199,0.7,0.75,1.0
trump_2025,omitted,100,0.6843,0.66,0.71,1.0
trump_2025,paired,100,0.8251999999999999,0.81,0.84,1.0
trump_2025,paraphrase,100,0.8854,0.87,0.9,1.0
trump_2025,true_only,100,0.8423999999999999,0.83,0.86,1.0
