transition,date,replicate,arm,answer,model
2025,2024-04-05,1,binary_probability,0.06,jev-1.13.0
2025,2024-04-05,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-05,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-10-09,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-09,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-09,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-07-15,1,binary_probability,0.39,jev-1.13.0
2025,2025-07-15,1,yes_no_choice,No,jev-1.13.0
2025,2025-07-15,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-02-14,1,binary_probability,0.04,jev-1.13.0
2021,2021-02-14,1,yes_no_choice,No,jev-1.13.0
2021,2021-02-14,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-11-30,1,binary_probability,0.56,jev-1.13.0
2025,2025-11-30,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-11-30,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-11-16,1,binary_probability,0.53,jev-1.13.0
2025,2025-11-16,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-11-16,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-11-26,1,binary_probability,0.03,jev-1.13.0
2021,2021-11-26,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-26,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-08-20,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-20,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-20,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-08-24,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-24,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-24,1,who_choice,Joe Biden,jev-1.13.0
2025,2026-01-11,1,binary_probability,0.44,jev-1.13.0
2025,2026-01-11,1,yes_no_choice,Yes,jev-1.13.0
2025,2026-01-11,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-07-02,1,binary_probability,0.47,jev-1.13.0
2025,2025-07-02,1,yes_no_choice,No,jev-1.13.0
2025,2025-07-02,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-03-20,1,binary_probability,0.62,jev-1.13.0
2025,2025-03-20,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-03-20,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-09-05,1,binary_probability,0.08,jev-1.13.0
2025,2024-09-05,1,yes_no_choice,No,jev-1.13.0
2025,2024-09-05,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-05-22,1,binary_probability,0.05,jev-1.13.0
2025,2024-05-22,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-22,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-12-13,1,binary_probability,0.27,jev-1.13.0
2025,2024-12-13,1,yes_no_choice,No,jev-1.13.0
2025,2024-12-13,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-03-19,1,binary_probability,0.98,jev-1.13.0
2021,2020-03-19,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-19,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-02-15,1,binary_probability,0.08,jev-1.13.0
2025,2024-02-15,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-15,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-07-23,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-23,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-23,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-08-17,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-17,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-17,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-06-18,1,binary_probability,0.48,jev-1.13.0
2025,2025-06-18,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-06-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-26,1,binary_probability,0.66,jev-1.13.0
2025,2025-01-26,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-26,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-05-12,1,binary_probability,0.03,jev-1.13.0
2021,2021-05-12,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-12,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-02-09,1,binary_probability,0.08,jev-1.13.0
2025,2024-02-09,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-09,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-06-02,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-02,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-02,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-26,1,binary_probability,0.51,jev-1.13.0
2025,2025-04-26,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-26,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-04,1,binary_probability,0.09,jev-1.13.0
2025,2024-10-04,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-04,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-09-14,1,binary_probability,0.47,jev-1.13.0
2025,2025-09-14,1,yes_no_choice,No,jev-1.13.0
2025,2025-09-14,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-04-12,1,binary_probability,0.04,jev-1.13.0
2025,2024-04-12,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-12,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-12-05,1,binary_probability,0.32,jev-1.13.0
2025,2024-12-05,1,yes_no_choice,No,jev-1.13.0
2025,2024-12-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-07,1,binary_probability,0.97,jev-1.13.0
2021,2020-11-07,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-07,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-12-06,1,binary_probability,0.03,jev-1.13.0
2021,2021-12-06,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-06,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-08-02,1,binary_probability,0.98,jev-1.13.0
2021,2020-08-02,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-02,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-06-08,1,binary_probability,0.46,jev-1.13.0
2025,2025-06-08,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-06-08,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-14,1,binary_probability,0.96,jev-1.13.0
2021,2020-11-14,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-14,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-10-26,1,binary_probability,0.52,jev-1.13.0
2025,2025-10-26,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-26,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-08-13,1,binary_probability,0.99,jev-1.13.0
2021,2020-08-13,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-13,1,who_choice,Donald Trump,jev-1.13.0
2021,2022-01-03,1,binary_probability,0.08,jev-1.13.0
2021,2022-01-03,1,yes_no_choice,No,jev-1.13.0
2021,2022-01-03,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-06-19,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-19,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-19,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-11-13,1,binary_probability,0.02,jev-1.13.0
2021,2021-11-13,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-10-09,1,binary_probability,0.42,jev-1.13.0
2025,2025-10-09,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-09,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-09-26,1,binary_probability,0.99,jev-1.13.0
2021,2020-09-26,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-26,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-05-10,1,binary_probability,0.03,jev-1.13.0
2021,2021-05-10,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-10,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-09-06,1,binary_probability,0.98,jev-1.13.0
2021,2020-09-06,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-06,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-05-04,1,binary_probability,0.03,jev-1.13.0
2021,2021-05-04,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-04,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-12-22,1,binary_probability,0.01,jev-1.13.0
2021,2021-12-22,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-22,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-05-25,1,binary_probability,0.06,jev-1.13.0
2025,2024-05-25,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-25,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-07-16,1,binary_probability,0.45,jev-1.13.0
2025,2025-07-16,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-07-16,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-01-03,1,binary_probability,0.96,jev-1.13.0
2021,2021-01-03,1,yes_no_choice,Yes,jev-1.13.0
2021,2021-01-03,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-04-26,1,binary_probability,0.99,jev-1.13.0
2021,2020-04-26,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-26,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-01-22,1,binary_probability,0.15,jev-1.13.0
2025,2024-01-22,1,yes_no_choice,No,jev-1.13.0
2025,2024-01-22,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-11-20,1,binary_probability,0.03,jev-1.13.0
2021,2021-11-20,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-20,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-09-30,1,binary_probability,0.42,jev-1.13.0
2025,2025-09-30,1,yes_no_choice,No,jev-1.13.0
2025,2025-09-30,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-05-17,1,binary_probability,0.06,jev-1.13.0
2025,2024-05-17,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-17,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-07-17,1,binary_probability,0.38,jev-1.13.0
2025,2025-07-17,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-07-17,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-10-04,1,binary_probability,0.99,jev-1.13.0
2021,2020-10-04,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-04,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-15,1,binary_probability,0.08,jev-1.13.0
2025,2024-10-15,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-15,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-07-21,1,binary_probability,0.98,jev-1.13.0
2021,2020-07-21,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-21,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-17,1,binary_probability,0.57,jev-1.13.0
2025,2025-01-17,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-17,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-11-10,1,binary_probability,0.56,jev-1.13.0
2025,2025-11-10,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-11-10,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-14,1,binary_probability,0.07,jev-1.13.0
2025,2024-10-14,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-14,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-06-18,1,binary_probability,0.06,jev-1.13.0
2025,2024-06-18,1,yes_no_choice,No,jev-1.13.0
2025,2024-06-18,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-07-08,1,binary_probability,0.42,jev-1.13.0
2025,2025-07-08,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-07-08,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-07-03,1,binary_probability,0.98,jev-1.13.0
